,episodes,baseline,ddqn,ppo
0,0,-0.39999999999999997,-20.950013442980893,-18.34350481427205
1,1,-0.39999999999999997,-14.665266085425749,-16.377971002044177
2,2,-0.39999999999999997,-18.25945322641788,-12.24784710203594
3,3,-0.39999999999999997,-13.79458991981341,-19.235627124576048
4,4,-0.39999999999999997,-15.607404787874009,-15.908413923260891
5,5,-0.39999999999999997,-15.279101392455198,-13.323678269384077
6,6,-0.39999999999999997,-15.200507529468407,-13.098731339061526
7,7,-0.39999999999999997,-18.416510695387963,-15.772171226991198
8,8,-0.39999999999999997,-16.255915231149007,-14.408926945696603
9,9,-0.39999999999999997,-16.05507961218269,-17.201273059850813
10,10,-0.39999999999999997,-14.612832993017554,-16.034395244830556
11,11,-0.39999999999999997,-14.57101668646385,-15.431371828788526
12,12,-0.39999999999999997,-15.79518749125084,-14.275112457343255
13,13,-0.39999999999999997,-18.351193279321667,-15.301335215630445
14,14,-0.39999999999999997,-18.97418342582503,-16.205531118773283
15,15,-0.39999999999999997,-19.84845812309444,-15.830320152110907
16,16,-0.39999999999999997,-19.877510429476796,-16.284626428694374
17,17,-0.39999999999999997,-20.69710151489824,-15.402147182655796
18,18,-0.39999999999999997,-19.500916111853638,-15.647281345336859
19,19,-0.39999999999999997,-19.17704023303954,-15.025902518336796
20,20,-0.39999999999999997,-18.3114668977539,-15.011426971893048
21,21,-0.39999999999999997,-18.785962136814817,-14.347271200443362
22,22,-0.39999999999999997,-19.289642775713133,-15.079688985095919
23,23,-0.39999999999999997,-19.000390255301443,-14.61866131809802
24,24,-0.39999999999999997,-18.347977110583443,-15.062512992779578
25,25,-0.39999999999999997,-17.564483333886237,-14.858096803158599
26,26,-0.39999999999999997,-16.972540096468506,-14.322611736374947
27,27,-0.39999999999999997,-16.355949182443403,-13.813937303025797
28,28,-0.39999999999999997,-15.769675881931073,-13.399572690211965
29,29,-0.39999999999999997,-15.16151815553148,-13.211199738867105
30,30,-0.39999999999999997,-14.666552855266103,-13.634123544139365
31,31,-0.39999999999999997,-14.264614996796812,-13.27677510792082
32,32,-0.39999999999999997,-13.6724686395884,-13.255030161970923
33,33,-0.39999999999999997,-13.209767063524339,-13.210045137217518
34,34,-0.39999999999999997,-12.763056987298775,-12.844043847582732
35,35,-0.39999999999999997,-12.372789575058675,-12.551617911834416
36,36,-0.39999999999999997,-11.99852335041431,-12.177924040358628
37,37,-0.39999999999999997,-11.714398190953103,-12.728288168854805
38,38,-0.39999999999999997,-11.377118173670983,-12.531458516368913
39,39,-0.39999999999999997,-11.102690219329208,-12.307605640536122
40,40,-0.39999999999999997,-10.821901801396276,-12.016512117904808
41,41,-0.39999999999999997,-10.495402227081437,-12.0599173476649
42,42,-0.39999999999999997,-10.22784326158915,-11.744299944211134
43,43,-0.39999999999999997,-9.962688956001621,-11.430617242661166
44,44,-0.39999999999999997,-9.703890598090142,-11.185492622223887
45,45,-0.39999999999999997,-9.532499487935715,-11.214659927494779
46,46,-0.39999999999999997,-9.26677329286529,-10.98093483487481
47,47,-0.39999999999999997,-8.971490860562305,-10.835829270211812
48,48,-0.39999999999999997,-8.758348371662743,-10.63019077449196
49,49,-0.39999999999999997,-8.558531318392022,-10.545648497145546
50,50,-0.39999999999999997,-8.381030543687885,-10.307299862290769
51,51,-0.39999999999999997,-8.239087695757492,-10.155439720322967
52,52,-0.39999999999999997,-8.138775091496912,-9.962115983192179
53,53,-0.39999999999999997,-8.036738877838824,-10.097526762924808
54,54,-0.39999999999999997,-7.82051248595635,-10.081291233792475
55,55,-0.39999999999999997,-7.6684796435976414,-9.953215861323725
56,56,-0.39999999999999997,-7.505474699537464,-9.724298603380099
57,57,-0.39999999999999997,-7.418858470845328,-9.541570111374922
58,58,-0.39999999999999997,-7.23102541660152,-9.287316608460841
59,59,-0.39999999999999997,-7.1890859207948505,-9.138600637694152
60,60,-0.39999999999999997,-7.078614992030505,-8.931541497599344
61,61,-0.39999999999999997,-6.895743092164915,-8.832856470327734
62,62,-0.39999999999999997,-6.803025506637775,-8.692499459388866
63,63,-0.39999999999999997,-6.725374960141402,-8.62274816419681
64,64,-0.39999999999999997,-6.593327045931698,-8.474629097520884
65,65,-0.39999999999999997,-6.47813153573704,-8.446858312960469
66,66,-0.39999999999999997,-6.346911525520899,-8.32675595008046
67,67,-0.39999999999999997,-6.271404446027679,-8.155855311516682
68,68,-0.39999999999999997,-6.1857790615502175,-8.043451611349774
69,69,-0.39999999999999997,-6.114922546509929,-7.934135253506058
70,70,-0.39999999999999997,-6.065030410539658,-7.822251164118077
71,71,-0.39999999999999997,-6.008238837677273,-7.732679757515671
72,72,-0.39999999999999997,-5.957343190376886,-7.659629952368874
73,73,-0.39999999999999997,-5.908610128690686,-7.5470206610127555
74,74,-0.39999999999999997,-5.911860831581158,-7.481021404291645
75,75,-0.39999999999999997,-5.83260102680405,-7.369121901788003
76,76,-0.39999999999999997,-5.730715061952425,-7.325046180204432
77,77,-0.39999999999999997,-5.662249036992503,-7.282782040753348
78,78,-0.39999999999999997,-5.526159659748011,-7.2618986297095445
79,79,-0.39999999999999997,-5.456576947196569,-7.152569331465554
80,80,-0.39999999999999997,-5.407765125029083,-7.044336507272849
81,81,-0.39999999999999997,-5.339528436558594,-6.994763961423695
82,82,-0.39999999999999997,-5.3566770158287005,-6.949409561647751
83,83,-0.39999999999999997,-5.283097937203725,-6.860391290044245
84,84,-0.39999999999999997,-5.2256497261777985,-6.765629296438798
85,85,-0.39999999999999997,-5.1362826447638605,-6.639386757217505
86,86,-0.39999999999999997,-5.067186753800656,-6.591738930777061
87,87,-0.39999999999999997,-4.976940023197034,-6.509905799439642
88,88,-0.39999999999999997,-4.89853155833997,-6.436737127256999
89,89,-0.39999999999999997,-4.825378612475017,-6.382572469562423
90,90,-0.39999999999999997,-4.760770099670528,-6.2738753491181996
91,91,-0.39999999999999997,-4.747972031209289,-6.174323754880286
92,92,-0.39999999999999997,-4.7186195051950675,-6.112234252139637
93,93,-0.39999999999999997,-4.706601612907694,-6.04432461302852
94,94,-0.39999999999999997,-4.6122224783174675,-6.004069798132287
95,95,-0.39999999999999997,-4.551257063497835,-5.955169092492042
96,96,-0.39999999999999997,-4.503479837465758,-5.912823431824665
97,97,-0.39999999999999997,-4.455785447617539,-5.866504743125715
98,98,-0.39999999999999997,-4.414817917843624,-5.794542682253675
99,99,-0.39999999999999997,-4.386719920175079,-5.711576716614308
100,100,-0.39999999999999997,-4.170082065660427,-5.558229994620036
101,101,-0.39999999999999997,-4.089985184167126,-5.418105622721873
102,102,-0.39999999999999997,-3.9842806561656237,-5.374228353326301
103,103,-0.39999999999999997,-4.0022762930865605,-4.979958704195364
104,104,-0.39999999999999997,-3.9233284818265117,-4.923276129584146
105,105,-0.39999999999999997,-3.800820306613289,-4.916656410048701
106,106,-0.39999999999999997,-3.6759103029185876,-4.794263759766131
107,107,-0.39999999999999997,-3.262220406901164,-4.398645212106966
108,108,-0.39999999999999997,-3.3046965811592957,-4.328697449243021
109,109,-0.39999999999999997,-3.181922965202287,-3.886796170733124
110,110,-0.39999999999999997,-3.1710992617234215,-3.8243894001219547
111,111,-0.39999999999999997,-3.023411501584355,-3.7564328693691693
112,112,-0.39999999999999997,-2.6758180794070374,-3.753513876793263
113,113,-0.39999999999999997,-2.2387056408898287,-3.4782885023021355
114,114,-0.39999999999999997,-1.9657451861211075,-3.2015053745280597
115,115,-0.39999999999999997,-1.6583486527525775,-3.0849681573072956
116,116,-0.39999999999999997,-1.4690992621025782,-2.863356951038593
117,117,-0.39999999999999997,-1.1271185750982289,-2.864591282264376
118,118,-0.39999999999999997,-1.1454093235145768,-2.6835520075932937
119,119,-0.39999999999999997,-1.008424761400265,-2.6704133912740518
120,120,-0.39999999999999997,-1.076118680826844,-2.57986266092255
121,121,-0.39999999999999997,-0.8105936249550848,-2.5843329047918924
122,122,-0.39999999999999997,-0.5002353003152228,-2.2807026424864882
123,123,-0.39999999999999997,-0.3807594774568971,-2.2820708367173568
124,124,-0.39999999999999997,-0.3915671253210302,-2.030170711372489
125,125,-0.39999999999999997,-0.4157957361564705,-1.9359250836406212
126,126,-0.39999999999999997,-0.4069617504298841,-1.9361215821530073
127,127,-0.39999999999999997,-0.39944222473500746,-1.939722185712467
128,128,-0.39999999999999997,-0.41355639693808377,-1.9197950076704677
129,129,-0.39999999999999997,-0.4479024068426904,-1.8503222481130706
130,130,-0.39999999999999997,-0.47564507045373344,-1.5705714799147155
131,131,-0.39999999999999997,-0.47380923910014155,-1.5425123406503267
132,132,-0.39999999999999997,-0.5392047201926851,-1.3883432077965647
133,133,-0.39999999999999997,-0.5495589027054139,-1.2592737382368602
134,134,-0.39999999999999997,-0.5922562719866783,-1.238653973874387
135,135,-0.39999999999999997,-0.6250884947703275,-1.219486872267953
136,136,-0.39999999999999997,-0.6790203303289164,-1.2359181440551048
137,137,-0.39999999999999997,-0.6359191587116709,-0.9009041977514747
138,138,-0.39999999999999997,-0.637145496088909,-0.8501999101821738
139,139,-0.39999999999999997,-0.6125000516592469,-0.8221105253473842
140,140,-0.39999999999999997,-0.6244514395770553,-0.8041469122149484
141,141,-0.39999999999999997,-0.6573622914445849,-0.6555183252806748
142,142,-0.39999999999999997,-0.6826777850489552,-0.6421804296044554
143,143,-0.39999999999999997,-0.7343634063298642,-0.6627354445567814
144,144,-0.39999999999999997,-0.7734457249891112,-0.6856107188006481
145,145,-0.39999999999999997,-0.7890987218993097,-0.5643388321537991
146,146,-0.39999999999999997,-0.8525240596097651,-0.5372269505929467
147,147,-0.39999999999999997,-0.8971384636010151,-0.48214638616498257
148,148,-0.39999999999999997,-0.9200130545477113,-0.4496309143262621
149,149,-0.39999999999999997,-0.9379335757660325,-0.38136046951842606
150,150,-0.39999999999999997,-0.9598566842760751,-0.37871119004856335
151,151,-0.39999999999999997,-1.027987451287172,-0.3382278707148005
152,152,-0.39999999999999997,-0.9927523797421658,-0.3187304797100822
153,153,-0.39999999999999997,-0.9734939751238236,-0.11510816238008818
154,154,-0.39999999999999997,-0.9945844248997563,-0.01196904339354094
155,155,-0.39999999999999997,-1.1286446328071615,0.020122605372778244
156,156,-0.39999999999999997,-1.1622952924985788,-0.0047499072555167495
157,157,-0.39999999999999997,-1.1991331173622461,-0.029787903034751366
158,158,-0.39999999999999997,-1.2397660346576391,-0.07406557615980094
159,159,-0.39999999999999997,-1.2370265340797493,-0.04557158597938111
160,160,-0.39999999999999997,-1.276052499654933,-0.07414692521908878
161,161,-0.39999999999999997,-1.3271658258993353,-0.054173360290082656
162,162,-0.39999999999999997,-1.392696366569203,-0.05826971247829138
163,163,-0.39999999999999997,-1.3920319578661935,0.02483806279702091
164,164,-0.39999999999999997,-1.4203741079966539,0.006423163803171843
165,165,-0.39999999999999997,-1.4335169015649023,0.0996730965518957
166,166,-0.39999999999999997,-1.46426224519547,0.09539655166606519
167,167,-0.39999999999999997,-1.4350565437821803,0.06409229793253614
168,168,-0.39999999999999997,-1.4486623992060732,0.06409229793253612
169,169,-0.39999999999999997,-1.4403801009715411,0.04968317310210603
170,170,-0.39999999999999997,-1.4629079384205863,0.023492493521641084
171,171,-0.39999999999999997,-1.5053224579635798,0.09030712018766188
172,172,-0.39999999999999997,-1.492154231772776,0.15294858041989837
173,173,-0.39999999999999997,-1.4401384171961211,0.17703343278436512
174,174,-0.39999999999999997,-1.4405527257276927,0.24780492093653167
175,175,-0.39999999999999997,-1.4980494509245463,0.24184379373658085
176,176,-0.39999999999999997,-1.5362210358639512,0.3246944460893252
177,177,-0.39999999999999997,-1.546241124279416,0.3609788791195245
178,178,-0.39999999999999997,-1.6081400136897597,0.40913686288403267
179,179,-0.39999999999999997,-1.6643195572862652,0.3983887597451457
180,180,-0.39999999999999997,-1.6603983247837446,0.4108396293873231
181,181,-0.39999999999999997,-1.6662747580792538,0.5033939528031812
182,182,-0.39999999999999997,-1.6062002820267887,0.5316974406033848
183,183,-0.39999999999999997,-1.6667075534753648,0.537004028993729
184,184,-0.39999999999999997,-1.6583029863728438,0.5392999109444822
